transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_amount,transaction_month,transaction_year,high_value_transaction
T0041,2023-01-13,C1693,Laptop,865.0,525.38,Credit Card,Completed,454453.07,1,2023,Yes
T0042,2021-04-08,C4796,Coffee Machine,8.0,525.38,Credit Card,Failed,4203.03,4,2021,Yes
T0043,2023-01-13,C4046,Smartphone,10.0,525.38,Cash,Pending,5253.79,1,2023,Yes
T0044,2023-01-13,C246,Smar,10.0,525.38,Cash,Completed,5253.79,1,2023,Yes
T0045,2023-01-13,C3393,Smartphone,5.0,653.39,Credit Card,Pending,3266.93,1,2023,Yes
T0046,2023-01-13,C2797,Coffee Machine,825.0,788.77,PayPal,Completed,650735.66,1,2023,Yes
T0047,2023-01-13,C2200,Laptop,8.0,525.38,Cash,Completed,4203.03,1,2023,Yes
T0048,2023-01-13,C987,Headphones,5.0,527.1,Credit Card,Pending,2635.48,1,2023,Yes
T0049,2023-01-13,C4480,Laptop,762.0,525.38,Credit Card,Completed,400339.0,1,2023,Yes
T0050,2023-01-13,Unknown,Tablet,6.0,969.72,PayPal,Completed,5818.32,1,2023,Yes
T0051,2023-01-13,C591,Coffee M,272.0,253.73,Cash,Unknown,69014.59,1,2023,Yes
T0052,2023-01-13,C4029,Headphones,839.0,756.33,PayPal,Pending,634564.29,1,2023,Yes
T0053,2023-01-13,C1077,Laptop,559.0,154.19,Credit Card,Failed,86189.45,1,2023,Yes
T0054,2023-01-13,C642,Tablet,4.0,525.38,Credit Card,Completed,2101.52,1,2023,Yes
T0055,2023-01-13,C2474,Coffee Machine,867.0,130.23,Credit Card,Pending,112911.03,1,2023,Yes
T0056,2023-01-13,C4020,Coffee Machine,153.0,500.92,PayPal,Completed,76640.23,1,2023,Yes
T0057,2023-01-13,C627,Laptop,863.0,525.38,Credit Card,Unknown,453402.31,1,2023,Yes
T0058,2023-01-13,C3286,Smartphone,469.0,424.32,PayPal,Completed,199004.11,1,2023,Yes
T0059,2023-01-13,C2809,Tablet,4.0,329.62,Credit Card,Unknown,1318.5,1,2023,Yes
T0060,2023-01-13,Unknown,Headphones,9.0,774.74,PayPal,Completed,6972.66,1,2023,Yes
T0061,2023-01-13,C3123,Headphones,6.0,692.7,Credit Card,Completed,4156.17,1,2023,Yes
T0062,2023-01-13,C3832,Laptop,2.0,525.38,PayPal,Pending,1050.76,1,2023,Yes
T0063,2023-01-13,C185,T,8.0,591.26,Credit Card,Pending,4730.09,1,2023,Yes
T0064,2023-01-13,C4415,Tablet,587.0,525.38,Cash,Completed,308397.63,1,2023,Yes
T0065,2023-01-13,C4884,Smartp,6.0,261.1,PayPal,Pending,1566.6,1,2023,Yes
T0066,2023-01-13,C4996,Laptop,399.0,416.86,PayPal,Pending,166328.84,1,2023,Yes
T0067,2023-01-13,C981,Tablet,769.0,525.38,Cash,Failed,404016.66,1,2023,Yes
T0068,2023-01-13,C4424,Tablet,222.0,893.06,PayPal,Failed,198258.9,1,2023,Yes
T0069,2021-03-03,C1757,Headphones,5.0,750.98,Credit Card,Completed,3754.92,3,2021,Yes
T0070,2023-01-13,C4445,Coffee Machine,787.0,197.83,PayPal,Completed,155689.62,1,2023,Yes
T0071,2023-01-13,C1381,Laptop,9.0,525.38,Cash,Unknown,4728.41,1,2023,Yes
T0072,2023-01-13,C899,Headphones,3.0,525.38,Credit Card,Failed,1576.14,1,2023,Yes
T0073,2021-10-04,C1319,Headp,9.0,525.38,Cash,Pending,4728.41,10,2021,Yes
T0074,2023-01-13,C4509,Laptop,7.0,525.38,PayPal,Pending,3677.65,1,2023,Yes
T0075,2023-01-13,C3892,Laptop,6.0,310.01,PayPal,Pending,1860.07,1,2023,Yes
T0076,2023-01-13,C2256,Smartphone,8.0,763.69,PayPal,Completed,6109.51,1,2023,Yes
T0077,2023-01-13,C3280,Smartphone,8.0,525.38,Cash,Pending,4203.03,1,2023,Yes
T0078,2023-01-13,C1586,Smartphone,4.0,525.38,Credit Card,Completed,2101.52,1,2023,Yes
T0079,2023-01-13,C4545,Laptop,10.0,523.97,PayPal,Pending,5239.73,1,2023,Yes
T0080,2023-01-13,C3707,Coffee Machine,4.0,933.72,PayPal,Unknown,3734.89,1,2023,Yes
T0081,2023-01-13,C3687,Smartphone,8.0,845.03,PayPal,Completed,6760.25,1,2023,Yes
T0082,2023-01-13,Unknown,Laptop,2.0,386.65,PayPal,Unknown,773.3,1,2023,No
T0083,2023-01-13,C2616,Tablet,7.0,447.17,PayPal,Completed,3130.22,1,2023,Yes
T0084,2023-01-13,C722,Tablet,4.0,811.19,PayPal,Failed,3244.78,1,2023,Yes
T0085,2023-01-13,C4399,Tablet,216.0,525.38,Cash,Unknown,113481.92,1,2023,Yes
T0086,2023-01-13,C058,Tablet,480.0,784.8,Cash,Unknown,376705.31,1,2023,Yes
T0087,2020-10-08,C703,Laptop,8.0,600.25,Cash,Completed,4802.0,10,2020,Yes
T0088,2023-01-13,C4004,Headphones,9.0,381.0,PayPal,Completed,3428.98,1,2023,Yes
T0089,2023-01-13,C4555,Headphones,709.0,525.38,PayPal,Completed,372493.9,1,2023,Yes
T0090,2023-01-13,C1678,Laptop,8.0,530.14,Cash,Completed,4241.1,1,2023,Yes
,2023-01-13,C308,Coffee Machine,824.0,577.56,Credit Card,Failed,475910.07,1,2023,Yes
T0092,2023-01-13,C3389,Smartphone,10.0,525.38,PayPal,Completed,5253.79,1,2023,Yes
T0093,2023-01-13,C3843,Tablet,973.0,784.08,Credit Card,Unknown,762907.28,1,2023,Yes
T0094,2023-01-13,C2314,Headphones,733.0,525.38,PayPal,Completed,385103.0,1,2023,Yes
T0095,2023-01-13,C529,Laptop,2.0,149.55,Credit Card,Pending,299.1,1,2023,No
T0096,2023-01-13,C1336,Coffee Machine,198.0,315.08,Cash,Completed,62385.59,1,2023,Yes
T0097,2023-01-13,C2670,Smar,514.0,525.38,Cash,Unknown,270044.94,1,2023,Yes
T0098,2023-01-13,C1341,Headphones,9.0,724.92,Credit Card,Completed,6524.28,1,2023,Yes
T0099,2023-01-13,C3685,Smartphone,909.0,585.48,PayPal,Completed,532199.51,1,2023,Yes
T0100,2023-01-13,C1810,Coffee Machine,808.0,157.04,PayPal,Unknown,126887.37,1,2023,Yes
T0101,2023-01-13,C2318,Tablet,367.0,272.64,Credit Card,Failed,100057.9,1,2023,Yes
T0102,2023-01-13,C4239,Smartphone,131.0,56.42,PayPal,Unknown,7391.25,1,2023,Yes
T0103,2022-04-12,C327,Tablet,10.0,963.46,PayPal,Completed,9634.58,4,2022,Yes
T0104,2023-01-13,C4574,Coffee Machine,857.0,322.36,Cash,Unknown,276260.8,1,2023,Yes
T0105,2023-01-13,C4377,Laptop,9.0,525.38,Credit Card,Pending,4728.41,1,2023,Yes
,2023-01-13,C4261,Laptop,670.0,197.03,PayPal,Failed,132011.96,1,2023,Yes
T0107,2023-01-13,C4233,Laptop,2.0,525.38,Credit Card,Completed,1050.76,1,2023,Yes
T0108,2023-01-13,C4889,Smart,399.0,525.38,Credit Card,Completed,209626.33,1,2023,Yes
T0109,2023-01-13,C1809,Headphones,6.0,380.72,PayPal,Completed,2284.35,1,2023,Yes
T0110,2023-01-13,C1186,Smartphone,8.0,451.46,PayPal,Unknown,3611.69,1,2023,Yes
T0111,2023-01-13,C4669,Coffee Machine,889.0,525.38,Credit Card,Failed,467062.17,1,2023,Yes
T0112,2024-06-09,C4249,Laptop,723.0,90.35,Credit Card,Failed,65321.09,6,2024,Yes
T0113,2020-08-04,C2894,Headphones,8.0,86.42,PayPal,Completed,691.33,8,2020,No
T0114,2023-01-13,C4252,Tablet,798.0,289.89,Cash,Unknown,231335.38,1,2023,Yes
T0115,2023-01-13,C4022,Headphones,8.0,261.14,PayPal,Pending,2089.14,1,2023,Yes
T0116,2023-01-13,C3190,Smartphone,787.0,104.6,Credit Card,Completed,82323.17,1,2023,Yes
T0117,2023-01-13,C4411,Tablet,300.0,525.38,PayPal,Completed,157613.78,1,2023,Yes
T0118,2023-01-13,C2778,Headphones,6.0,276.43,Credit Card,Completed,1658.61,1,2023,Yes
T0119,2023-01-13,C4517,Laptop,10.0,525.38,Credit Card,Failed,5253.79,1,2023,Yes
T0120,2023-01-13,Unknown,Coffee Machine,7.0,159.46,PayPal,Failed,1116.21,1,2023,Yes
T0121,2023-01-13,C4087,Tablet,903.0,525.38,Credit Card,Completed,474417.48,1,2023,Yes
T0122,2023-01-13,C4055,Headphones,603.0,525.38,PayPal,Pending,316803.7,1,2023,Yes
T0123,2023-01-13,C2203,Headphones,3.0,869.8,Credit Card,Unknown,2609.39,1,2023,Yes
T0124,2023-01-13,C2837,Tablet,10.0,463.14,PayPal,Failed,4631.43,1,2023,Yes
,2021-02-12,C086,Coffee Machine,667.0,681.87,PayPal,Pending,454807.29,2,2021,Yes
T0126,2023-01-13,C572,Laptop,630.0,224.96,Credit Card,Unknown,141727.44,1,2023,Yes
T0127,2023-01-13,C2165,Headphones,3.0,525.38,PayPal,Failed,1576.14,1,2023,Yes
T0128,2023-01-13,C2883,Tablet,3.0,525.38,PayPal,Completed,1576.14,1,2023,Yes
T0129,2023-01-13,C1399,La,996.0,525.38,PayPal,Completed,523277.75,1,2023,Yes
T0130,2023-01-13,C3104,Smart,5.0,594.77,PayPal,Unknown,2973.85,1,2023,Yes
T0131,2023-01-13,C2556,Laptop,1.0,177.14,Credit Card,Completed,177.14,1,2023,No
T0132,2023-01-13,C1736,Laptop,10.0,63.47,PayPal,Completed,634.68,1,2023,No
T0133,2021-12-07,C2977,Laptop,137.0,97.99,Credit Card,Failed,13424.45,12,2021,Yes
T0134,2023-01-13,C1514,Coffee Machine,1.0,525.38,Cash,Completed,525.38,1,2023,No
T0135,2023-01-13,C820,Lapt,8.0,999.68,Credit Card,Failed,7997.42,1,2023,Yes
T0136,2024-04-05,C544,Tablet,788.0,525.38,PayPal,Completed,413998.86,4,2024,Yes
T0137,2022-04-08,C4112,Headphones,322.0,557.44,PayPal,Completed,179494.2,4,2022,Yes
T0138,2023-01-13,C2349,Laptop,199.0,525.38,Cash,Completed,104550.47,1,2023,Yes
T0139,2023-01-13,C2703,Tabl,2.0,525.38,PayPal,Failed,1050.76,1,2023,Yes
T0140,2023-01-13,C2027,Coffee Machine,10.0,525.38,PayPal,Unknown,5253.79,1,2023,Yes
,2023-01-13,C869,Headphones,564.0,499.88,Credit Card,Failed,281931.31,1,2023,Yes
T77766,2023-01-13,C4226,Tablet,7.0,862.48,Credit Card,Completed,6037.36,1,2023,Yes
T0143,2023-01-13,C3555,Smartphone,3.0,625.38,Credit Card,Completed,1876.14,1,2023,Yes
T0144,2020-03-02,C4891,Coffee Machine,8.0,375.97,PayPal,Completed,3007.78,3,2020,Yes
T0145,2023-01-13,C2712,Tablet,8.0,192.74,PayPal,Completed,1541.95,1,2023,Yes
T0146,2023-01-13,C3320,Smartphone,8.0,525.38,PayPal,Unknown,4203.03,1,2023,Yes
,2023-06-03,Unknown,Headphones,2.0,574.74,Credit Card,Failed,1149.48,6,2023,Yes
T0148,2023-01-13,C513,Smartphone,778.0,887.29,Credit Card,Pending,690312.08,1,2023,Yes
,2023-01-13,C2945,Laptop,4.0,485.06,PayPal,Pending,1940.23,1,2023,Yes
T0150,2023-01-13,C3843,Coffee Machine,7.0,497.41,PayPal,Completed,3481.86,1,2023,Yes
T0151,2023-01-13,C4252,Laptop,946.0,234.97,PayPal,Completed,222276.91,1,2023,Yes
T0152,2023-01-13,C3177,Laptop,8.0,525.38,PayPal,Failed,4203.03,1,2023,Yes
T0153,2023-01-13,C1021,Smartphone,222.0,734.99,PayPal,Completed,163167.25,1,2023,Yes
T0154,2023-01-13,C3826,Smartphone,3.0,218.21,PayPal,Unknown,654.64,1,2023,No
T0155,2023-01-13,C1382,Coffee Machine,6.0,480.09,PayPal,Completed,2880.54,1,2023,Yes
T0156,2023-01-13,C3890,Laptop,8.0,947.03,Credit Card,Completed,7576.25,1,2023,Yes
T0157,2021-01-02,C2917,Coffee Machine,304.0,863.77,Credit Card,Pending,262586.08,1,2021,Yes
T0158,2023-01-13,C4975,Headphones,661.0,525.38,Credit Card,Completed,347275.7,1,2023,Yes
T0159,2023-01-13,C2913,Headphones,571.0,525.38,Cash,Pending,299991.56,1,2023,Yes
T0160,2023-01-13,C1618,L,9.0,525.38,Credit Card,Completed,4728.41,1,2023,Yes
T0161,2023-01-13,C4414,Coffee Machine,4.0,864.05,PayPal,Failed,3456.18,1,2023,Yes
T17515,2023-01-13,C3287,Smartphone,9.0,850.5,Credit Card,Pending,7654.49,1,2023,Yes
T0163,2021-11-08,C666,Smartphone,8.0,455.46,Credit Card,Unknown,3643.68,11,2021,Yes
T0164,2023-01-13,C2345,Coffee Machine,10.0,913.2,Credit Card,Completed,9131.99,1,2023,Yes
T0165,2023-01-13,C316,Coffee Machine,599.0,525.38,PayPal,Pending,314702.18,1,2023,Yes
T0166,2023-01-13,C222,Coffee Machine,3.0,818.04,PayPal,Completed,2454.11,1,2023,Yes
T0167,2021-05-08,C2395,Coffee Machine,547.0,884.36,Credit Card,Pending,483745.04,5,2021,Yes
T0168,2023-01-13,C2741,Headphones,9.0,963.4,PayPal,Completed,8670.58,1,2023,Yes
T0169,2023-01-13,C1460,Headphones,9.0,699.57,Cash,Completed,6296.12,1,2023,Yes
T0170,2023-01-13,C872,Tablet,10.0,921.49,PayPal,Pending,9214.92,1,2023,Yes
T0171,2023-01-13,C506,Tablet,202.0,525.38,Credit Card,Completed,106126.61,1,2023,Yes
T0172,2023-01-13,C3007,Headphones,10.0,908.64,PayPal,Completed,9086.43,1,2023,Yes
T0173,2023-01-13,C2195,Coffee Machine,267.0,996.89,Credit Card,Completed,266170.3,1,2023,Yes
T0174,2023-01-13,C3227,Laptop,3.0,525.38,PayPal,Completed,1576.14,1,2023,Yes
T0175,2023-01-13,C4393,Laptop,505.0,213.46,Cash,Completed,107798.13,1,2023,Yes
T0176,2023-01-13,C2863,Coffee Machine,9.0,525.38,Cash,Completed,4728.41,1,2023,Yes
T0177,2025-04-01,C3662,Tablet,4.0,460.83,PayPal,Completed,1843.31,4,2025,Yes
T0178,2023-01-13,C233,Smartphone,3.0,525.38,Credit Card,Completed,1576.14,1,2023,Yes
T0179,2023-01-13,C4160,Tablet,622.0,121.82,Cash,Completed,75769.44,1,2023,Yes
T0180,2023-01-13,C3357,Tablet,4.0,525.38,Credit Card,Completed,2101.52,1,2023,Yes
T0181,2022-04-05,C887,Smartphone,359.0,365.48,Credit Card,Failed,131207.32,4,2022,Yes
T0182,2023-01-13,C4140,Coffee Machine,916.0,516.11,Credit Card,Pending,472755.07,1,2023,Yes
T0183,2023-01-13,C3985,Smartphone,3.0,525.38,PayPal,Completed,1576.14,1,2023,Yes
T0184,2023-01-13,C3954,Headphones,4.0,501.18,Credit Card,Completed,2004.72,1,2023,Yes
T0185,2023-01-13,C4308,Smartphone,779.0,388.04,PayPal,Completed,302282.41,1,2023,Yes
T0186,2023-01-13,C4027,Smart,246.0,720.97,Credit Card,Unknown,177359.38,1,2023,Yes
T0187,2024-12-04,C2965,Smartphone,1.0,525.38,Cash,Unknown,525.38,12,2024,No
T0188,2023-12-08,C1159,Laptop,2.0,567.56,Credit Card,Pending,1135.12,12,2023,Yes
T0189,2023-01-13,C047,Smartphone,10.0,252.64,PayPal,Completed,2526.42,1,2023,Yes
T0190,2023-01-13,Unknown,Headphones,7.0,525.38,PayPal,Unknown,3677.65,1,2023,Yes
T0191,2023-01-13,C4984,Laptop,6.0,770.69,Credit Card,Completed,4624.14,1,2023,Yes
T0192,2023-01-13,C2741,Laptop,3.0,525.38,PayPal,Completed,1576.14,1,2023,Yes
T0193,2023-01-13,C3191,Coffee Machine,106.0,330.3,Cash,Completed,35011.8,1,2023,Yes
T0194,2023-01-13,C751,Headphones,4.0,225.28,Credit Card,Pending,901.12,1,2023,No
T0195,2023-01-13,C4563,Tablet,279.0,845.9,PayPal,Failed,236007.28,1,2023,Yes
,2023-01-13,C382,Headphones,751.0,207.4,Credit Card,Completed,155754.82,1,2023,Yes
T0197,2021-08-03,C4862,Laptop,821.0,525.38,Credit Card,Pending,431336.38,8,2021,Yes
T0198,2023-01-13,C199,Headphones,826.0,895.66,PayPal,Completed,739812.42,1,2023,Yes
T0199,2023-11-03,C3558,Coffee Machine,5.0,525.38,Credit Card,Pending,2626.9,11,2023,Yes
T0200,2023-01-13,C1561,Laptop,9.0,428.33,PayPal,Completed,3855.0,1,2023,Yes
T0201,2023-01-13,C4339,Laptop,4.0,305.68,PayPal,Completed,1222.71,1,2023,Yes
,2023-01-13,C1274,Smartphone,1.0,574.68,PayPal,Pending,574.68,1,2023,No
T0203,2023-01-13,C4643,Laptop,8.0,525.38,PayPal,Completed,4203.03,1,2023,Yes
T0204,2021-08-02,C4690,Headphones,258.0,854.42,Credit Card,Unknown,220439.9,8,2021,Yes
T0205,2023-01-13,C3948,Coffee Machine,10.0,525.38,Credit Card,Failed,5253.79,1,2023,Yes
T0206,2023-01-13,C3530,Smartphone,299.0,525.38,Credit Card,Completed,157088.4,1,2023,Yes
T0207,2023-01-13,C2862,Laptop,9.0,423.1,PayPal,Pending,3807.93,1,2023,Yes
T0208,2023-01-13,Unknown,Coffee Machine,2.0,533.98,Cash,Completed,1067.96,1,2023,Yes
T0209,2023-01-13,C1378,C,586.0,525.38,Cash,Completed,307872.25,1,2023,Yes
T0210,2022-08-03,C3762,Coffee Machine,8.0,148.63,Credit Card,Completed,1189.04,8,2022,Yes
T0211,2023-01-13,Unknown,Coffee Machine,2.0,145.2,Credit Card,Completed,290.4,1,2023,No
T0212,2023-01-13,C3724,Coffee Machine,938.0,345.74,PayPal,Completed,324301.16,1,2023,Yes
T0213,2023-01-13,C2547,Headphones,7.0,415.8,Credit Card,Completed,2910.58,1,2023,Yes
,2023-01-13,C2442,Tablet,8.0,594.82,Credit Card,Failed,4758.54,1,2023,Yes
T0215,2023-01-13,C4386,Smartphone,8.0,663.12,PayPal,Failed,5305.0,1,2023,Yes
T0216,2023-01-13,Unknown,Headphones,10.0,525.38,Credit Card,Pending,5253.79,1,2023,Yes
T0217,2023-01-13,C184,Smartph,698.0,721.69,PayPal,Completed,503742.83,1,2023,Yes
T0218,2023-01-13,C4793,Headp,536.0,525.38,Credit Card,Failed,281603.29,1,2023,Yes
T0219,2023-01-13,C3102,Laptop,4.0,275.07,Cash,Completed,1100.28,1,2023,Yes
T0220,2023-11-10,C3610,Smartphone,10.0,525.38,PayPal,Unknown,5253.79,11,2023,Yes
T0221,2020-08-03,C1613,Coffee Machine,3.0,58.03,Credit Card,Failed,174.1,8,2020,No
T0222,2023-01-13,C2874,Coffee Machine,10.0,499.76,PayPal,Unknown,4997.6,1,2023,Yes
,2023-01-13,C3915,Coffee Machine,789.0,525.38,PayPal,Pending,414524.24,1,2023,Yes
T0224,2023-01-13,C3588,Smartphone,8.0,345.88,Cash,Completed,2767.06,1,2023,Yes
T0225,2023-01-13,C298,Tablet,10.0,282.01,PayPal,Failed,2820.1,1,2023,Yes
T0226,2023-01-13,C3261,Smartphone,3.0,525.38,Credit Card,Pending,1576.14,1,2023,Yes
T0227,2023-01-13,C4300,Laptop,8.0,150.31,Credit Card,Failed,1202.46,1,2023,Yes
T0228,2022-03-04,C1613,Tablet,7.0,525.38,PayPal,Completed,3677.65,3,2022,Yes
T0229,2023-01-13,C665,Smartphone,5.0,643.49,PayPal,Unknown,3217.46,1,2023,Yes
T0230,2023-07-06,C1387,Hea,8.0,933.26,PayPal,Completed,7466.05,7,2023,Yes
,2023-01-13,Unknown,Tabl,7.0,54.4,PayPal,Completed,380.78,1,2023,No
T0232,2023-01-13,C2304,Smartphone,802.0,513.5,PayPal,Completed,411830.61,1,2023,Yes
T0233,2023-01-13,C3774,Tablet,455.0,525.38,PayPal,Unknown,239047.57,1,2023,Yes
T0234,2023-01-13,C4286,Headphones,585.0,808.55,Credit Card,Completed,473003.48,1,2023,Yes
T0235,2023-01-13,C4657,Coffee Machine,162.0,525.38,Credit Card,Completed,85111.44,1,2023,Yes
T0236,2023-01-13,C606,Smartphone,201.0,525.38,Credit Card,Unknown,105601.23,1,2023,Yes
T0237,2023-01-13,C3835,Smartphone,8.0,525.38,Cash,Unknown,4203.03,1,2023,Yes
T0238,2023-01-13,C3827,Coffee Machine,8.0,125.68,Cash,Completed,1005.48,1,2023,Yes
T0239,2023-01-13,C3416,Coffee Machine,807.0,267.2,Cash,Completed,215631.99,1,2023,Yes
T0240,2023-01-13,C1171,Laptop,9.0,525.38,PayPal,Completed,4728.41,1,2023,Yes
T0241,2022-09-12,C2398,Coffee Machine,5.0,643.71,PayPal,Failed,3218.55,9,2022,Yes
T0242,2023-01-12,C2286,Coffee Machine,8.0,525.38,PayPal,Completed,4203.03,1,2023,Yes
T0243,2023-01-13,C2493,Laptop,5.0,888.05,Credit Card,Unknown,4440.24,1,2023,Yes
T0244,2023-01-13,C2759,Smartphone,353.0,166.01,Credit Card,Unknown,58601.07,1,2023,Yes
T0245,2023-01-13,C1417,Tablet,7.0,525.38,Cash,Failed,3677.65,1,2023,Yes
T0246,2023-01-13,C3759,Headphones,1.0,641.51,Credit Card,Completed,641.51,1,2023,No
T0247,2023-01-13,C4707,Headphones,767.0,902.91,PayPal,Completed,692531.65,1,2023,Yes
T0248,2024-10-07,C2496,Head,431.0,242.13,PayPal,Failed,104358.03,10,2024,Yes
T0249,2023-01-13,C2942,Tablet,1.0,525.38,PayPal,Completed,525.38,1,2023,No
,2023-01-13,C1453,Smartpho,535.0,559.02,Credit Card,Failed,299073.34,1,2023,Yes
T0251,2023-01-13,C3631,Headphones,212.0,873.74,Credit Card,Failed,185233.92,1,2023,Yes
T0252,2022-01-03,C4052,Lapt,2.0,162.85,Credit Card,Completed,325.69,1,2022,No
T0253,2023-01-13,C1374,Laptop,9.0,115.68,Cash,Completed,1041.13,1,2023,Yes
T0254,2023-01-13,C2859,Coffee Machine,165.0,115.37,Credit Card,Completed,19036.15,1,2023,Yes
T0255,2021-12-01,C4435,Lapto,9.0,878.33,Credit Card,Failed,7904.98,12,2021,Yes
,2023-01-13,C4077,Headphones,241.0,130.05,Credit Card,Unknown,31341.84,1,2023,Yes
T0257,2023-01-13,C4274,Coffee Machine,6.0,702.24,PayPal,Completed,4213.44,1,2023,Yes
T0258,2023-01-13,C1902,Headphones,358.0,525.38,PayPal,Pending,188085.78,1,2023,Yes
T0259,2023-01-13,C3240,Smartphone,3.0,349.61,Credit Card,Pending,1048.84,1,2023,Yes
T0260,2023-01-13,C3973,Coffee Machine,383.0,368.46,Credit Card,Completed,141121.44,1,2023,Yes
T0261,2023-01-13,Unknown,Smartphone,3.0,728.95,PayPal,Unknown,2186.85,1,2023,Yes
T0262,2023-01-13,C511,Headphones,321.0,525.38,PayPal,Completed,168646.75,1,2023,Yes
T0263,2023-01-13,C3570,Laptop,952.0,111.49,PayPal,Pending,106143.03,1,2023,Yes
T0264,2023-01-13,C4190,Coffee Machine,736.0,264.4,Credit Card,Pending,194599.54,1,2023,Yes
T0265,2023-01-13,C2978,Tablet,1.0,167.71,PayPal,Completed,167.71,1,2023,No
T0266,2023-01-13,C1796,Headphones,3.0,900.39,Cash,Failed,2701.17,1,2023,Yes
T0267,2023-01-13,C4543,Coffee Machine,7.0,699.4,Cash,Completed,4895.8,1,2023,Yes
T0268,2023-01-12,C2381,Laptop,7.0,617.89,PayPal,Failed,4325.22,1,2023,Yes
